Year,neg,pos,n
1908,1,0,1
1910,1,0,1
1911,4,0,4
1930,6,0,6
1952,4,0,4
1959,2,0,2
1960,8,1,9
1961,6,0,6
1966,32,0,32
1970,9,0,9
1972,4,0,4
1973,1,0,1
1980,4,0,4
1981,48,0,48
1994,149,0,149
2004,95,0,95
2006,155,0,155
2009,1,0,1
2011,123,77,200
2013,322,178,500
