"","Region","pos","neg","tot","prev","lower","upper","prob","power"
"1","Central Africa",706,3069,3775,18.7019867549669,17.4694714727966,19.9831503006535,8.85676424585004e-192,1
"2","Eastern Africa",621,2303,2924,21.2380300957592,19.7678546481486,22.7659829326443,1.03843526855577e-148,1
"3","Northern Africa",8,386,394,2.03045685279188,0.880585072147074,3.96146954849735,1.14726202409566e-20,1
"4","Southern Africa",317,778,1095,28.9497716894977,26.2774137613871,31.7357459615288,3.81994646223924e-56,1
"5","TOTAL AFRICA",1735,5839,7574,22.9073144969633,21.9648700763173,23.8706521512482,0,1
"6","Western Africa",494,1636,2130,23.1924882629108,21.4144789550206,25.0445580996201,1.58750153415362e-108,1
