"","Region","pos","neg","tot","prev","lower","upper","prob","power"
"1","Central Africa",59,779,838,7.04057279236277,5.40247465235221,8.98815791570883,3.87994499216101e-43,1
"2","Eastern Arica",33,2460,2493,1.323706377858,0.912883244659818,1.85399381107705,6.74973256538568e-127,1
"3","Southern Africa",47,621,668,7.03592814371257,5.21520671227824,9.24671167442843,1.55784569611336e-34,1
"4","TOTAL AFRICA",136,4121,4257,3.19473807845901,2.6870401577308,3.7679120781581,3.57485381760054e-216,1
"5","Western Africa",0,5,5,0,0,52.1823750104981,0.5584059449,0.4415940551
