"","bio_1","bio_2","bio_3","bio_4","bio_7","bio_14","bio_15","bio_18","bio_19","Built2009","crop2005","NavWat2009","Pastur2009","Popden2010","Railways","Roads","HFP2009","pet_he_yr","aet_yr","perren_str","interm_str","dams","canals","perren_wb","interm_wb","dry_salt_f","ocean_sea","prelim_ric","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"1448",207,92,76,911,121,11,72,366,1182,0,0,0,0,6,0,4,10,1436,1137,26687.7,198409,4057680,2000500,9649.65,593257,2528640,2528640,86,3.95666997916353,-2.01422028884274,0.130292761356617,-1.67565455013089,0.658958633094424,0.252919304471766,0.260115533014978
"1449",207,92,76,911,121,11,72,366,1182,0,0,0,0,6,0,4,10,1436,1137,26687.7,198409,4057680,2000500,9649.65,593257,2528640,2528640,86,3.95666997916353,-2.01422028884274,0.130292761356617,-1.67565455013089,0.658958633094424,0.252919304471766,0.260115533014978
"1450",207,92,76,911,121,11,72,366,1182,0,0,0,0,6,0,4,10,1436,1137,26687.7,198409,4057680,2000500,9649.65,593257,2528640,2528640,86,3.95666997916353,-2.01422028884274,0.130292761356617,-1.67565455013089,0.658958633094424,0.252919304471766,0.260115533014978
"1451",207,92,76,911,121,11,72,366,1182,0,0,0,0,6,0,4,10,1436,1137,26687.7,198409,4057680,2000500,9649.65,593257,2528640,2528640,86,3.95666997916353,-2.01422028884274,0.130292761356617,-1.67565455013089,0.658958633094424,0.252919304471766,0.260115533014978
"1452",207,92,76,911,121,11,72,366,1182,0,0,0,0,6,0,4,10,1436,1137,26687.7,198409,4057680,2000500,9649.65,593257,2528640,2528640,86,3.95666997916353,-2.01422028884274,0.130292761356617,-1.67565455013089,0.658958633094424,0.252919304471766,0.260115533014978
"1453",207,92,76,911,121,11,72,366,1182,0,0,0,0,6,0,4,10,1436,1137,26687.7,198409,4057680,2000500,9649.65,593257,2528640,2528640,86,3.95666997916353,-2.01422028884274,0.130292761356617,-1.67565455013089,0.658958633094424,0.252919304471766,0.260115533014978
"1454",207,92,76,911,121,11,72,366,1182,0,0,0,0,6,0,4,10,1436,1137,26687.7,198409,4057680,2000500,9649.65,593257,2528640,2528640,86,3.95666997916353,-2.01422028884274,0.130292761356617,-1.67565455013089,0.658958633094424,0.252919304471766,0.260115533014978
"1455",207,92,76,911,121,11,72,366,1182,0,0,0,0,6,0,4,10,1436,1137,26687.7,198409,4057680,2000500,9649.65,593257,2528640,2528640,86,3.95666997916353,-2.01422028884274,0.130292761356617,-1.67565455013089,0.658958633094424,0.252919304471766,0.260115533014978
"1456",207,92,76,911,121,11,72,366,1182,0,0,0,0,6,0,4,10,1436,1137,26687.7,198409,4057680,2000500,9649.65,593257,2528640,2528640,86,3.95666997916353,-2.01422028884274,0.130292761356617,-1.67565455013089,0.658958633094424,0.252919304471766,0.260115533014978
"1457",200,99,76,893,130,10,67,326,852,0,0,0.000413449,0,8,0,4,12.0004,1455,1108,11217.2,234687,4060770,2046240,40955,563325,2502530,2502530,55,2.65238252217589,-1.86305951193747,0.0543380575901208,-0.84464493790466,0.730412641477575,0.892388431752028,0.509880327149556
"1458",200,99,76,893,130,10,67,326,852,0,0,0.000413449,0,8,0,4,12.0004,1455,1108,11217.2,234687,4060770,2046240,40955,563325,2502530,2502530,55,2.65238252217589,-1.86305951193747,0.0543380575901208,-0.84464493790466,0.730412641477575,0.892388431752028,0.509880327149556
"1459",200,99,76,893,130,10,67,326,852,0,0,0.000413449,0,8,0,4,12.0004,1455,1108,11217.2,234687,4060770,2046240,40955,563325,2502530,2502530,55,2.65238252217589,-1.86305951193747,0.0543380575901208,-0.84464493790466,0.730412641477575,0.892388431752028,0.509880327149556
"1460",200,99,76,893,130,10,67,326,852,0,0,0.000413449,0,8,0,4,12.0004,1455,1108,11217.2,234687,4060770,2046240,40955,563325,2502530,2502530,55,2.65238252217589,-1.86305951193747,0.0543380575901208,-0.84464493790466,0.730412641477575,0.892388431752028,0.509880327149556
"1461",237,95,84,563,113,32,57,367,421,0,0,0,0,3,0,8,11,1576,1261,8646.26,283966,4363540,2331970,114318,827524,2420430,2420430,67,4.39628024721264,0.229334212997043,-0.47391784529867,1.83724747288216,-0.668583407486299,2.39370806053767,0.47299734113528
"1462",237,95,84,563,113,32,57,367,421,0,0,0,0,3,0,8,11,1576,1261,8701.65,284024,4363570,2331940,114262,827546,2420420,2420420,67,4.39630605295721,0.22895018665588,-0.473443775583987,1.83641816278646,-0.667758558433864,2.39113889490811,0.472633415754496
"1463",237,95,84,563,113,32,57,367,421,0,0,0,0,3,0,4,7,1576,1261,8792.97,284214,4364120,2331400,113911,828093,2419880,2419880,67,4.36331794676558,0.752664785851372,-0.186286332401561,1.35046532953305,-0.82377887423113,2.57178259726107,0.222534200148747
"1464",235,105,82,521,128,35,51,506,346,0,0,0,0,3,0,8,11,1657,1287,45786.5,438046,4460750,2234990,1094.01,912605,2375390,2375390,63,3.78010334762241,0.154650113951489,-0.751368890436456,1.30346010837469,-0.332566432733118,-1.55842433365596,0.0242896150191734
"1465",237,113,83,533,135,38,49,503,426,0,0,0,0,3,0,8,11,1722,1307,51944.4,454849,4492380,2203350,10025.4,944247,2346080,2346080,62,3.66773081508641,0.3325403282683,-0.844763158510347,1.8091359433025,-0.295182990212457,-1.64387066763843,0.0289389048414321
"1466",237,113,83,533,135,38,49,503,426,0,0,0,0,3,0,8,11,1722,1307,51944.4,454849,4492380,2203350,10025.4,944247,2346080,2346080,62,3.66773081508641,0.3325403282683,-0.844763158510347,1.8091359433025,-0.295182990212457,-1.64387066763843,0.0289389048414321
"1467",237,95,84,563,113,32,57,367,421,0,0,0,0,3,0,4,7,1576,1261,8792.97,284214,4364120,2331400,113911,828093,2419880,2419880,67,4.36331794676558,0.752664785851372,-0.186286332401561,1.35046532953305,-0.82377887423113,2.57178259726107,0.222534200148747
"1468",237,95,84,563,113,32,57,367,421,0,0,0,0,3,0,4,7,1576,1261,8792.97,284214,4364120,2331400,113911,828093,2419880,2419880,67,4.36331794676558,0.752664785851372,-0.186286332401561,1.35046532953305,-0.82377887423113,2.57178259726107,0.222534200148747
"1469",237,95,84,563,113,32,57,367,421,0,0,0,0,3,0,4,7,1576,1261,8792.97,284214,4364120,2331400,113911,828093,2419880,2419880,67,4.36331794676558,0.752664785851372,-0.186286332401561,1.35046532953305,-0.82377887423113,2.57178259726107,0.222534200148747
"1470",237,95,84,563,113,32,57,367,421,0,0,0,0,3,0,4,7,1576,1261,8792.97,284214,4364120,2331400,113911,828093,2419880,2419880,67,4.36331794676558,0.752664785851372,-0.186286332401561,1.35046532953305,-0.82377887423113,2.57178259726107,0.222534200148747
"1471",237,95,84,563,113,32,57,367,421,0,0,0,0,3,0,4,7,1576,1261,8792.97,284214,4364120,2331400,113911,828093,2419880,2419880,67,4.36331794676558,0.752664785851372,-0.186286332401561,1.35046532953305,-0.82377887423113,2.57178259726107,0.222534200148747
"1472",237,95,84,563,113,32,57,367,421,0,0,0,0,3,0,8,11,1576,1261,8701.65,284024,4363570,2331940,114262,827546,2420420,2420420,67,4.39630605295721,0.22895018665588,-0.473443775583987,1.83641816278646,-0.667758558433864,2.39113889490811,0.472633415754496
"1473",237,95,84,563,113,32,57,367,421,0,0,0,0,3,0,8,11,1576,1261,8701.65,284024,4363570,2331940,114262,827546,2420420,2420420,67,4.39630605295721,0.22895018665588,-0.473443775583987,1.83641816278646,-0.667758558433864,2.39113889490811,0.472633415754496
"1474",237,95,84,563,113,32,57,367,421,0,0,0,0,3,0,4,7,1576,1261,8792.97,284214,4364120,2331400,113911,828093,2419880,2419880,67,4.36331794676558,0.752664785851372,-0.186286332401561,1.35046532953305,-0.82377887423113,2.57178259726107,0.222534200148747
"1475",237,95,84,563,113,32,57,367,421,0,0,0,0,3,0,4,7,1576,1261,8792.97,284214,4364120,2331400,113911,828093,2419880,2419880,67,4.36331794676558,0.752664785851372,-0.186286332401561,1.35046532953305,-0.82377887423113,2.57178259726107,0.222534200148747
"1476",237,95,84,563,113,32,57,367,421,0,0,0,0,3,0,4,7,1576,1261,8792.97,284214,4364120,2331400,113911,828093,2419880,2419880,67,4.36331794676558,0.752664785851372,-0.186286332401561,1.35046532953305,-0.82377887423113,2.57178259726107,0.222534200148747
"1477",237,95,84,563,113,32,57,367,421,0,0,0,0,3,0,4,7,1576,1261,8792.97,284214,4364120,2331400,113911,828093,2419880,2419880,67,4.36331794676558,0.752664785851372,-0.186286332401561,1.35046532953305,-0.82377887423113,2.57178259726107,0.222534200148747
"1478",243,87,76,896,113,26,67,439,1391,0,0,0,0,6,0,2.72822,8.72822,1526,1274,17072.8,187581,4063830,1997150,21438.8,605750,2537300,2537300,89,4.77397042381197,-1.10723658309194,-0.423053141837654,-0.94460602105282,0.360832358675025,0.460002797938914,0.433773198184685
"1479",214,90,76,904,117,14,72,385,1291,0,0,0,0,6,0,8,14,1444,1164,21471,199399,4050450,1984390,17570.6,595761,2524710,2524710,84,4.22720843894826,-2.35699778524319,-0.292937968975995,-1.04061432385099,0.700947956612582,0.205494965070242,0.604537750625303
"1480",202,91,76,926,119,14,70,383,1187,0,0,0,0,6,0,2.72822,8.72822,1412,1141,19198.1,201436,4047940,1981550,18718.9,594291,2522480,2522480,80,3.87801938853933,-1.66393602139486,0.0614708286859277,-1.82191254246413,0.362810870658697,0.47471600722078,0.252904004359171
"1481",219,81,77,781,104,41,56,512,1274,0,0,2.54345e-05,0,6,0,0.757507,6.75753,1391,1263,39808.3,161616,4085080,1961020,19441.4,674613,2575920,2575920,68,4.5510786472162,-0.33049696849619,-0.609125782315316,-2.07965080125374,0.0956341412012794,-0.497777130553107,0.338986559976017
"1482",201,91,77,873,118,14,70,384,1185,0,0,0,0,6,0,4,10,1403,1135,18466,201247,4047920,1981080,19500.8,594671,2522600,2522600,80,3.87807149489884,-1.74032286851636,-0.0489970103085003,-1.72963687077969,0.458425221013817,0.479444329254131,0.353282667054468
"1483",201,91,77,873,118,14,70,384,1185,0,0,0,0,6,0,4,10,1403,1135,18466,201247,4047920,1981080,19500.8,594671,2522600,2522600,80,3.87807149489884,-1.74032286851636,-0.0489970103085003,-1.72963687077969,0.458425221013817,0.479444329254131,0.353282667054468
"1484",202,91,76,926,119,14,70,383,1187,0,0,0,0,6,0,2.72822,8.72822,1412,1141,19198.1,201436,4047940,1981550,18718.9,594291,2522480,2522480,80,3.87801938853933,-1.66393602139486,0.0614708286859277,-1.82191254246413,0.362810870658697,0.47471600722078,0.252904004359171
"1485",245,95,78,714,121,11,69,149,470,0,0,4,0,3,0,1.33947,8.33947,1594,1138,51064.8,295084,4206340,2246350,64.5155,666060,2478770,2478770,55,3.66007001691429,-1.35736645861513,3.21123908364827,0.962052038974556,3.82663496610439,-1.32712159345265,-6.33078366560704
"1486",251,109,67,1071,161,6,76,203,805,0,0,0,0,6,0,0,6,1715,1106,17389,420543,3865470,1916560,42628.5,370217,2319560,2319560,20,1.82819914538575,-1.5837432286147,1.80886468119524,1.00299122063304,0.107158073079175,0.148171045581141,-0.54960797804886
"1487",248,103,71,909,144,8,73,286,995,0,0,0,0,6,0,8,14,1672,1175,61232.4,339387,3938880,1952050,7365.67,451244,2397870,2397870,26,2.67318200436881,-2.48671752611394,0.995165814503795,0.776751544537871,1.19305354027027,-1.69288636481863,-0.0489970991030293
"1488",206,92,76,933,120,11,71,367,1169,0,0,0,0,6,0,4,10,1429,1133,26871.5,198243,4057760,2000420,9729.34,593446,2528760,2528760,86,3.94594667839899,-2.00858911032172,0.128869214000675,-1.71797827933093,0.643432121648769,0.23830477925867,0.265064019471521
"1489",202,91,76,926,119,14,70,383,1187,0,0,0,0,6,0,2.72822,8.72822,1412,1141,19198.1,201436,4047940,1981550,18718.9,594291,2522480,2522480,80,3.87801938853933,-1.66393602139486,0.0614708286859277,-1.82191254246413,0.362810870658697,0.47471600722078,0.252904004359171
