bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,hfp2009_ty
194,101,63,1549,273,115,158,201,177,210,171,1358,286,6,91,740,26,290,27,5
190,103,64,1453,270,111,159,198,167,204,167,1105,242,2,95,620,14,250,14,11
179,107,64,1608,260,95,165,187,161,196,155,1232,236,6,89,652,27,251,32,6.25008
190,111,67,1295,275,110,165,196,170,204,170,721,157,0,106,454,1,184,1,4.4367
248,69,53,1839,307,178,129,258,226,267,220,1538,367,12,88,875,52,416,60,13.0001
193,101,65,1387,270,116,154,201,176,207,171,1120,242,2,93,613,14,429,17,4
179,104,66,1376,258,101,157,188,162,193,158,1100,237,2,95,617,13,433,15,4
184,118,72,1211,269,107,162,193,168,197,165,945,211,15,75,469,60,356,74,34
126,135,52,4212,243,-14,257,168,68,174,68,676,103,9,60,290,43,288,43,7
153,141,50,4717,279,1,278,200,88,206,86,678,105,9,61,305,44,279,46,8.41508
133,134,52,4127,245,-11,256,179,74,179,74,610,103,7,65,276,34,276,34,6.8525
78,114,51,3621,180,-42,222,119,28,119,28,792,122,7,66,354,34,354,34,5.25004
73,115,52,3552,177,-44,221,114,24,114,24,797,123,8,66,355,35,355,35,14
96,122,56,3554,217,0,217,59,141,141,52,634,96,19,54,275,75,76,271,5.52698
175,152,53,4411,314,30,284,180,216,228,116,262,27,15,15,79,56,56,63,37
182,85,58,2025,250,105,145,172,208,209,158,588,64,39,17,179,123,141,128,12.7997
135,145,53,4351,254,-15,269,178,74,185,74,819,127,12,60,349,45,347,45,9.72822
188,157,60,3501,323,63,260,141,229,231,141,149,25,3,59,69,12,14,69,15
179,100,57,2515,259,84,175,158,210,211,147,543,55,33,16,159,105,112,137,43.7885
159,141,57,3738,287,41,246,116,203,204,109,213,35,4,60,97,15,21,96,11
173,140,59,3353,295,60,235,137,213,214,128,155,26,3,64,73,11,14,73,11
175,134,55,4040,301,61,240,121,212,224,121,178,31,4,62,84,15,20,84,32
